id,address,postcode,monthlyRentPence,region,capacity,tenancyEndDate
p_1046,57 Hawthorn Drive,LS1 1AA,221100,ENGLAND,3,2029-05-07
p_1047,178 Bluebell Lane,EH61 7OP,298700,SCOTLAND,5,2025-12-25
p_1048,108 Hawthorn Avenue,L18 8AA,128600,ENGLAND,6,2027-12-04
p_1049,21 Beech Lane,KY28 6OP,164600,ENGLAND,3,2026-08-11
p_1050,46 Alderley Edge,G85 7ST,62300,ENGLAND,1,2028-08-04
p_1051,66 Heather Drive,EH61 7GH,168300,SCOTLAND,2,2027-01-16
p_1052,198 Fern Street,FK51 6CD,52000,SCOTLAND,5,2028-06-17
p_1053,96 Ivy Street,BT35 8IJ,114300,WALES,3,2024-10-20
p_1054,122 Rosewood Close,AB53 1AB,101300,ENGLAND,2,2029-05-20
p_1055,198 Marlborough Road,ML42 7WX,227300,ENGLAND,2,2029-01-24
p_1056,198 Aspen Way,ML27 7WX,61100,ENGLAND,4,2026-10-01
p_1057,101 Juniper Close,AB31 3YZ,293700,SCOTLAND,3,2025-11-11
p_1058,23 Silver Birch Avenue,CB22 3XZ,80600,ENGLAND,2,2029-08-22
p_1059,42 Chestnut Avenue,EH59 1OP,270800,ENGLAND,4,2025-10-03
p_1060,90 Cedar Lane,BT79 0MN,242100,ENGLAND,7,2027-01-04
p_1061,128 Larch Drive,EH53 4IJ,125800,N.IRELAND,6,2026-05-15
p_1062,52 Redwood Close,EH59 1AB,175700,ENGLAND,4,2025-02-10
p_1063,16 Bluebell Road,IV74 9YZ,253400,ENGLAND,5,2025-10-14
p_1064,33 Beech Road,ML24 9WX,192200,ENGLAND,3,2026-01-30
p_1065,89 Harvest Avenue,IV87 3CD,156500,SCOTLAND,2,2026-07-13
p_1066,153 Foxglove Street,BT61 8WX,126900,ENGLAND,5,2028-10-21
p_1067,80 Queensway,FK55 4UV,137800,WALES,3,2027-04-30
p_1068,170 Maple Avenue,BT63 0WX,83800,SCOTLAND,4,2028-07-17
p_1069,120 Richmond Road,BT47 0AA,150000,SCOTLAND,3,2022-10-01
p_1070,36 Mulberry Drive,B31 2TW,92800,ENGLAND,5,2026-05-23
p_1071,100 Cypress Street,KY24 8OP,120700,WALES,3,2027-12-19
p_1072,93 Birch Lane,EH73 3MN,223800,SCOTLAND,3,2024-11-11
p_1073,107 Poplar Avenue,ML39 4YZ,135600,ENGLAND,1,2025-05-07
p_1074,180 Sycamore Street,G76 8QR,59400,ENGLAND,3,2025-06-25
p_1075,19 Dogwood Crescent,KY34 9MN,59600,WALES,3,2028-07-31
p_1076,159 Holly Crescent,G12 8QQ,87700,WALES,5,2025-03-05
p_1077,97 Alder Lane,EH76 1MN,98700,WALES,3,2026-02-28
p_1078,140 Linden Grove,EH36 3YZ,105100,SCOTLAND,3,2029-06-17
p_1079,71 Brooklands Avenue,DD1 1AA,204000,WALES,7,2029-01-13
p_1080,63 High Street,46 2ST,129300,N.IRELAND,4,2027-10-22
p_1081,195 Ivy Lane,IV44 2QR,257400,SCOTLAND,6,2023-04-12
p_1082,112 Oakdene Avenue,G87 5ST,171200,ENGLAND,5,2026-12-01
p_1083,12 Elderberry Avenue,EH43 8CD,233300,ENGLAND,3,2028-07-29
p_1084,68 Laurel Road,AB57 0IJ,144200,WALES,3,2026-02-03
p_1085,47 Garden Road,EH56 8MN,105000,WALES,4,2026-05-16
p_1086,176 Cedar Grove,EH52 0MN,89600,ENGLAND,4,2028-09-30
p_1087,42 Willow Avenue,EH51 3KL,162600,WALES,2,2029-06-02
p_1088,125 Jasmine Close,EH46 3KL,174600,ENGLAND,2,2025-05-21
p_1089,182 Kingsway,AB58 5WX,277300,ENGLAND,6,2024-10-30
p_1090,164 Orchard Avenue,AB44 6CD,110300,ENGLAND,5,2025-11-25
p_1091,89 Oak Lane,ML50 5AB,178300,ENGLAND,3,2028-02-13
p_1092,168 Elm Street,BT55 5UV,171700,ENGLAND,2,2025-10-22
p_1093,23 Willow Road,PO1 1AA,208700,SCOTLAND,3,2029-08-03
p_1094,140 Magnolia Lane,BT60 2WX,237600,ENGLAND,4,2023-10-02
p_1095,157 Elderberry Court,EH72 7MN,255600,SCOTLAND,7,2025-12-24
p_1096,167 Lilac Lane,EH71 1MN,294500,ENGLAND,6,2028-05-26
p_1097,45 Buttercup Lane,G76 3IJ,69100,ENGLAND,2,2027-12-16
p_1098,44 Sunflower Street,EH58 1KL,223400,N.IRELAND,4,2026-01-09
p_1099,66 Lavender Way,IV88 2AB,99100,ENGLAND,5,2028-02-06
p_1100,186 Aspen Crescent,M60 1W,251200,ENGLAND,7,2026-10-14
p_1101,154 Oakwood Drive,AB54 4UV,211800,ENGLAND,1,2027-02-20
